checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
0.75 0.33333333333333337 0.19999999999999996 0.5 0.75 0.19999999999999996 0.6 0.08333333333333333 0.25 0.6666666666666667 0.75 0.25 0.5 0.33333333333333337 0.33333333333333337 0.25 0.75 0.25 0.16666666666666666 0.5 14.45779120
0.25 0.33333333333333337 0.09999999999999998 0.09999999999999998 0.5 0.4 0.3 0.375 0.125 0.16666666666666669 0.125 0.25 0.375 0.33333333333333337 0.33333333333333337 0.375 0.25 0.25 0.16666666666666666 0.25 22.53043169
0.5 0.33333333333333337 0.19999999999999996 0.09999999999999998 0.25 0.09999999999999998 0.4 0.16666666666666666 0.25 0.33333333333333337 0.25 0.375 0.25 0.33333333333333337 0.16666666666666669 0.25 0.375 0.16666666666666666 0.16666666666666666 0.25 75.25955920
0.375 0.33333333333333337 0.4 0.45 0.375 0.19999999999999996 0.09999999999999998 0.125 0.25 0.16666666666666669 0.125 0.375 0.16666666666666666 0.16666666666666669 0.16666666666666669 0.125 0.125 0.25 0.16666666666666666 0.16666666666666666 51.67726052
0.25 0.33333333333333337 0.3 0.45 0.375 0.3 0.4 0.125 0.25 0.33333333333333337 0.125 0.375 0.25 0.33333333333333337 0.33333333333333337 0.125 0.25 0.25 0.16666666666666666 0.16666666666666666 50.68427709
0.5 0.16666666666666669 0.09999999999999998 0.25 0.25 0.09999999999999998 0.09999999999999998 0.125 0.25 0.22222222222222224 0.25 0.25 0.25 0.22222222222222224 0.22222222222222224 0.25 0.25 0.16666666666666666 0.16666666666666666 0.25 137.05497534
0.25 0.33333333333333337 0.4 0.4 0.25 0.2 0.3 0.25 0.16666666666666666 0.16666666666666669 0.25 0.375 0.125 0.22222222222222224 0.16666666666666669 0.125 0.25 0.25 0.25 0.25 41.85391138
0.5 0.33333333333333337 0.2 0.2 0.25 0.4 0.2 0.375 0.25 0.16666666666666669 0.125 0.125 0.25 0.22222222222222224 0.33333333333333337 0.25 0.25 0.16666666666666666 0.16666666666666666 0.25 79.83915896
0.25 0.33333333333333337 0.09999999999999998 0.4 0.375 0.4 0.3 0.5 0.375 0.33333333333333337 0.375 0.375 0.125 0.16666666666666669 0.22222222222222224 0.25 0.25 0.25 0.25 0.25 24.87010837
0.25 0.33333333333333337 0.2 0.15000000000000002 0.375 0.4 0.2 0.125 0.125 0.16666666666666669 0.25 0.125 0.25 0.22222222222222224 0.22222222222222224 0.25 0.375 0.25 0.25 0.25 59.11527584
