checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
0.75 0.33333333333333337 0.6 0.5 0.0 0.8 0.19999999999999996 0.25 0.25 0.0 0.25 0.5 0.0 0.0 0.0 0.0 0.5 0.5 0.0 0.5 0.13952414
0.5 0.33333333333333337 0.19999999999999996 0.0 0.75 0.6 0.19999999999999996 0.0 0.0 0.33333333333333337 0.25 0.5 0.25 0.0 0.0 0.25 0.0 0.0 0.0 0.0 0.13963977
0.75 0.33333333333333337 0.19999999999999996 0.5 0.75 0.19999999999999996 0.6 0.0 0.0 0.6666666666666667 0.75 0.25 0.5 0.33333333333333337 0.33333333333333337 0.25 0.75 0.0 0.0 0.5 0.13936696
0.25 0.33333333333333337 0.0 0.09999999999999998 0.5 0.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13944952
0.5 0.33333333333333337 0.19999999999999996 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13916612
0.0 0.0 0.0 0.0 0.0 0.19999999999999996 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13959714
0.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13963162
0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13974058
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13917900
0.5 0.33333333333333337 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13939386
0.25 0.33333333333333337 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13930588
0.25 0.33333333333333337 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13962086
0.25 0.33333333333333337 0.19999999999999996 0.09999999999999998 0.0 0.0 0.4 0.5 0.0 0.33333333333333337 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.5 0.14001941
0.75 0.33333333333333337 0.0 0.09999999999999998 0.75 0.8 0.8 0.0 0.5 0.6666666666666667 0.0 0.5 0.75 0.6666666666666667 0.6666666666666667 0.0 0.75 0.0 0.5 0.5 0.13962916
0.75 0.33333333333333337 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.0 0.13937469
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13902620
0.75 0.33333333333333337 0.0 0.0 0.0 0.19999999999999996 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13909753
0.5 0.33333333333333337 0.4 0.19999999999999996 0.25 0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.13919740
0.25 0.33333333333333337 0.19999999999999996 0.6 0.5 0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13954917
0.75 0.6666666666666667 0.0 0.0 0.5 0.4 0.0 0.25 0.0 0.0 0.0 0.25 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.0 0.13976311
0.75 0.6666666666666667 0.4 0.19999999999999996 0.75 0.8 0.0 0.0 0.25 0.33333333333333337 0.25 0.75 0.5 0.0 0.0 0.5 0.0 0.0 0.0 0.0 0.13919646
0.0 0.0 0.0 0.0 0.0 0.19999999999999996 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.14004657
0.0 0.0 0.19999999999999996 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13953276
0.75 0.33333333333333337 0.0 0.19999999999999996 0.0 0.19999999999999996 0.19999999999999996 0.25 0.0 0.0 0.0 0.5 0.5 0.0 0.33333333333333337 0.0 0.75 0.0 0.0 0.5 0.13944688
0.25 0.6666666666666667 0.0 0.0 0.0 0.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.14011766
0.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13958639
0.75 0.33333333333333337 0.0 0.0 0.0 0.8 0.0 0.0 0.0 0.33333333333333337 0.0 0.0 0.0 0.0 0.0 0.0 0.75 0.0 0.0 0.5 0.14009263
