checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
(0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.4) (1.0, 0.09999999999999998) (0.5, 0.75) (1.0, 0.19999999999999996) (0.5, 0.8) (0.3333333333333333, 0.75) (0.5, 0.75) (0.3333333333333333, 0.6666666666666667) (0.5, 0.25) (0.5, 0.75) (0.5, 0.75) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.6666666666666667) (0.5, 0.25) (0.3333333333333333, 0.75) (0.5, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) 89.44011637
(1.0, 0.25) (0.5, 0.33333333333333337) (0.5, 0.6) (0.5, 0.19999999999999996) (0.5, 0.75) (0.5, 0.8) (0.3333333333333333, 0.6) (0.3333333333333333, 0.75) (0.3333333333333333, 0.75) (0.3333333333333333, 0.6666666666666667) (0.5, 0.25) (0.5, 0.5) (0.5, 0.25) (0.3333333333333333, 0.6666666666666667) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.25) (0.5, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) 94.79644455
(1.0, 0.25) (1.0, 0.33333333333333337) (0.5, 0.19999999999999996) (0.5, 0.7) (0.5, 0.25) (0.5, 0.8) (0.5, 0.19999999999999996) (0.5, 0.75) (0.5, 0.5) (0.5, 0.6666666666666667) (0.5, 0.25) (0.5, 0.75) (0.5, 0.25) (0.3333333333333333, 0.6666666666666667) (0.5, 0.6666666666666667) (0.5, 0.75) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 27.56864387
(0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.8) (0.5, 0.8) (0.5, 0.75) (1.0, 0.19999999999999996) (0.5, 0.19999999999999996) (0.5, 0.25) (0.5, 0.75) (0.3333333333333333, 0.6666666666666667) (0.5, 0.25) (0.5, 0.5) (0.5, 0.25) (0.5, 0.6666666666666667) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.25) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) 62.27668109
(1.0, 0.75) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.5) (0.5, 0.5) (1.0, 0.8) (1.0, 0.19999999999999996) (1.0, 0.25) (1.0, 0.25) (0.25, 0.6666666666666667) (1.0, 0.25) (1.0, 0.5) (0.3333333333333333, 0.5) (0.5, 0.33333333333333337) (0.5, 0.33333333333333337) (0.5, 0.25) (1.0, 0.5) (1.0, 0.5) (0.3333333333333333, 0.5) (1.0, 0.5) 170.43143889
(1.0, 0.5) (1.0, 0.33333333333333337) (1.0, 0.19999999999999996) (0.5, 0.7) (1.0, 0.75) (1.0, 0.6) (1.0, 0.19999999999999996) (0.5, 0.75) (0.5, 0.25) (1.0, 0.33333333333333337) (1.0, 0.25) (1.0, 0.5) (1.0, 0.25) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (1.0, 0.25) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 15.69221897
(1.0, 0.75) (1.0, 0.33333333333333337) (1.0, 0.19999999999999996) (1.0, 0.5) (1.0, 0.75) (1.0, 0.19999999999999996) (1.0, 0.6) (0.3333333333333333, 0.25) (0.5, 0.5) (1.0, 0.6666666666666667) (1.0, 0.75) (1.0, 0.25) (1.0, 0.5) (1.0, 0.33333333333333337) (1.0, 0.33333333333333337) (1.0, 0.25) (1.0, 0.75) (0.5, 0.5) (0.3333333333333333, 0.5) (1.0, 0.5) 14.44024603
(1.0, 0.25) (1.0, 0.33333333333333337) (0.5, 0.19999999999999996) (1.0, 0.09999999999999998) (1.0, 0.5) (1.0, 0.4) (0.5, 0.6) (0.5, 0.75) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.5) (0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.6666666666666667) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 22.50387555
(1.0, 0.5) (1.0, 0.33333333333333337) (1.0, 0.19999999999999996) (0.5, 0.19999999999999996) (0.3333333333333333, 0.75) (0.5, 0.19999999999999996) (0.5, 0.8) (0.3333333333333333, 0.5) (0.3333333333333333, 0.75) (0.5, 0.6666666666666667) (0.3333333333333333, 0.75) (0.5, 0.75) (0.5, 0.5) (0.5, 0.6666666666666667) (0.5, 0.33333333333333337) (0.5, 0.5) (0.5, 0.75) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 75.14934100
(0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.8) (0.5, 0.9) (0.5, 0.75) (1.0, 0.19999999999999996) (0.5, 0.19999999999999996) (0.5, 0.25) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.75) (0.3333333333333333, 0.5) (0.5, 0.33333333333333337) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.25) (0.5, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) 51.62190216
(1.0, 0.25) (0.5, 0.6666666666666667) (0.5, 0.6) (0.5, 0.9) (0.5, 0.75) (0.5, 0.6) (0.5, 0.8) (0.5, 0.25) (0.5, 0.5) (0.5, 0.6666666666666667) (0.5, 0.25) (0.5, 0.75) (0.5, 0.5) (0.5, 0.6666666666666667) (0.5, 0.6666666666666667) (0.5, 0.25) (0.3333333333333333, 0.75) (0.5, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) 50.73780964
(1.0, 0.5) (0.5, 0.33333333333333337) (0.5, 0.19999999999999996) (0.5, 0.5) (0.3333333333333333, 0.75) (0.5, 0.19999999999999996) (0.5, 0.19999999999999996) (0.5, 0.25) (0.3333333333333333, 0.75) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.75) (0.3333333333333333, 0.75) (0.3333333333333333, 0.75) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.75) (0.5, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 136.54069286
(0.5, 0.5) (0.5, 0.6666666666666667) (0.5, 0.8) (0.5, 0.8) (0.5, 0.5) (0.5, 0.4) (0.5, 0.6) (0.5, 0.5) (0.3333333333333333, 0.5) (0.5, 0.33333333333333337) (0.5, 0.5) (0.5, 0.75) (0.5, 0.25) (0.3333333333333333, 0.6666666666666667) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 41.85387930
(1.0, 0.5) (1.0, 0.33333333333333337) (0.5, 0.4) (0.5, 0.4) (0.3333333333333333, 0.75) (0.5, 0.8) (0.5, 0.4) (0.5, 0.75) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.25) (0.3333333333333333, 0.75) (0.3333333333333333, 0.6666666666666667) (0.5, 0.6666666666666667) (0.3333333333333333, 0.75) (0.5, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 79.66045250
(1.0, 0.25) (1.0, 0.33333333333333337) (0.5, 0.19999999999999996) (0.5, 0.8) (0.5, 0.75) (0.5, 0.8) (0.5, 0.6) (1.0, 0.5) (0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.75) (0.5, 0.75) (0.5, 0.25) (0.5, 0.33333333333333337) (0.3333333333333333, 0.6666666666666667) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 24.92947232
(1.0, 0.25) (1.0, 0.33333333333333337) (0.5, 0.4) (0.5, 0.30000000000000004) (0.5, 0.75) (0.5, 0.8) (0.5, 0.4) (0.5, 0.25) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.5) (0.5, 0.25) (0.3333333333333333, 0.75) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.75) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 59.18427790
(1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.19999999999999996) (1.0, 0.09999999999999998) (0.5, 0.5) (0.5, 0.8) (1.0, 0.4) (1.0, 0.5) (0.5, 0.75) (1.0, 0.33333333333333337) (0.5, 0.75) (0.5, 0.75) (0.5, 0.5) (0.5, 0.6666666666666667) (0.5, 0.6666666666666667) (0.5, 0.75) (1.0, 0.25) (0.5, 0.5) (0.5, 0.5) (1.0, 0.5) 5.36097764
(1.0, 0.75) (1.0, 0.33333333333333337) (0.3333333333333333, 0.6) (1.0, 0.09999999999999998) (1.0, 0.75) (1.0, 0.8) (1.0, 0.8) (0.3333333333333333, 0.5) (1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.25) (1.0, 0.5) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.6666666666666667) (0.5, 0.25) (1.0, 0.75) (0.5, 0.5) (1.0, 0.5) (1.0, 0.5) 15.00795655
