Recency Frequency Monetary Time Runtime
(0.5, 0.22593582887700536) (0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.625668449197861) 0.05538835
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.06949180
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.06970092
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.625668449197861) 0.06423271
(1.0, 0.22593582887700536) (0.0, 0.0) (0.0, 0.0) (1.0, 0.625668449197861) 0.05334498
(0.5, 0.22593582887700536) (0.0, 0.0) (0.0, 0.0) (1.0, 0.625668449197861) 0.06094291
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.27354557
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.25, 0.625668449197861) 0.07605611
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07333987
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07326200
(0.0, 0.0) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.8048128342245989) 0.08450292
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07060979
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.25, 0.625668449197861) 0.06810882
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07063111
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07054261
(0.0, 0.0) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.8048128342245989) 0.08175742
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07078667
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.25, 0.625668449197861) 0.06808272
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07062228
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07056739
(0.0, 0.0) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.8048128342245989) 0.08172742
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.07389254
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.3333333333333333, 0.625668449197861) 0.06958587
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.07385987
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.07403710
(0.0, 0.0) (0.5, 0.22994652406417115) (0.0, 0.0) (0.5, 0.8048128342245989) 0.06844653
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07063987
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.25, 0.625668449197861) 0.06823286
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07050695
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07059474
(0.0, 0.0) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.8048128342245989) 0.08151601
