checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
(1.0, 0.6679999999999999) (1.0, 0.77) (0.5, 0.08800000000000008) (1.0, 0.11199999999999988) (1.0, 0.25) (1.0, 0.29400000000000004) (0.5, 0.938) (0.5, 0.524) (1.0, 0.5480000000000002) (0.5, 0.051999999999999935) (0.5, 0.543) (0.5, 0.6679999999999999) (0.5, 0.775) (0.3333333333333333, 0.18600000000000005) (0.5, 0.28700000000000003) (0.5, 0.661) (0.5, 0.852) (0.5, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 3.14133172
(0.5, 0.731) (0.5, 0.77) (0.5, 0.381) (1.0, 0.10299999999999998) (0.5, 0.751) (1.0, 0.18300000000000005) (0.5, 0.828) (0.3333333333333333, 0.524) (0.5, 0.6900000000000001) (0.3333333333333333, 0.09299999999999997) (0.5, 0.13000000000000012) (0.5, 0.768) (0.5, 0.7090000000000001) (0.3333333333333333, 0.18600000000000005) (0.3333333333333333, 0.28700000000000003) (0.5, 0.33299999999999996) (0.3333333333333333, 0.852) (0.5, 0.15500000000000003) (0.3333333333333333, 0.404) (0.3333333333333333, 0.03700000000000003) 90.00919494
(1.0, 0.3939999999999999) (0.5, 0.359) (0.5, 0.911) (0.5, 0.383) (0.5, 0.751) (0.5, 0.397) (0.3333333333333333, 0.4079999999999998) (0.3333333333333333, 0.843) (0.3333333333333333, 0.45200000000000007) (0.3333333333333333, 0.09299999999999997) (0.5, 0.13000000000000012) (0.5, 0.514) (0.5, 0.235) (0.3333333333333333, 0.861) (0.5, 0.7130000000000001) (0.5, 0.633) (0.5, 0.1479999999999999) (0.5, 0.845) (0.3333333333333333, 0.404) (0.3333333333333333, 0.03700000000000003) 95.74182732
(1.0, 0.3939999999999999) (1.0, 0.359) (0.5, 0.2929999999999999) (0.5, 0.71) (0.5, 0.251) (0.5, 0.397) (0.5, 0.06199999999999983) (0.5, 0.524) (0.5, 0.6400000000000001) (0.5, 0.09299999999999997) (0.5, 0.13000000000000012) (0.5, 0.718) (0.5, 0.249) (0.3333333333333333, 0.18600000000000005) (0.5, 0.821) (0.5, 0.367) (0.5, 0.37) (0.5, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 27.77017426
(0.5, 0.731) (0.5, 0.77) (0.5, 0.951) (0.5, 0.754) (0.5, 0.751) (1.0, 0.18300000000000005) (0.5, 0.17399999999999993) (0.5, 0.136) (0.5, 0.6900000000000001) (0.3333333333333333, 0.09299999999999997) (0.5, 0.13000000000000012) (0.5, 0.614) (0.5, 0.249) (0.5, 0.861) (0.5, 0.7130000000000001) (0.5, 0.006000000000000005) (0.5, 0.63) (0.3333333333333333, 0.15500000000000003) (0.3333333333333333, 0.596) (0.3333333333333333, 0.03700000000000003) 62.76429861
(1.0, 0.726) (1.0, 0.359) (1.0, 0.911) (1.0, 0.6479999999999999) (0.5, 0.501) (1.0, 0.397) (1.0, 0.06199999999999983) (1.0, 0.136) (1.0, 0.050000000000000155) (0.25, 0.948) (1.0, 0.13000000000000012) (1.0, 0.514) (0.3333333333333333, 0.526) (0.5, 0.04700000000000004) (0.5, 0.7130000000000001) (0.5, 0.028000000000000025) (1.0, 0.16999999999999993) (1.0, 0.15500000000000003) (0.3333333333333333, 0.404) (1.0, 0.03700000000000003) 171.52855619
(1.0, 0.45699999999999996) (1.0, 0.359) (1.0, 0.2929999999999999) (0.5, 0.619) (1.0, 0.751) (1.0, 0.29400000000000004) (1.0, 0.17399999999999993) (0.5, 0.524) (0.5, 0.31000000000000005) (1.0, 0.051999999999999935) (1.0, 0.13000000000000012) (1.0, 0.514) (1.0, 0.22499999999999998) (0.5, 0.139) (0.5, 0.892) (1.0, 0.028000000000000025) (0.5, 0.8300000000000001) (0.5, 0.15500000000000003) (0.5, 0.596) (0.3333333333333333, 0.03700000000000003) 15.80178902
(1.0, 0.726) (1.0, 0.359) (1.0, 0.2929999999999999) (1.0, 0.4019999999999999) (1.0, 0.751) (1.0, 0.04800000000000004) (1.0, 0.4889999999999999) (0.3333333333333333, 0.23099999999999998) (0.5, 0.14200000000000013) (1.0, 0.09299999999999997) (1.0, 0.692) (1.0, 0.28200000000000003) (1.0, 0.484) (1.0, 0.04700000000000004) (1.0, 0.7130000000000001) (1.0, 0.006000000000000005) (1.0, 0.37) (0.5, 0.15500000000000003) (0.3333333333333333, 0.596) (1.0, 0.03700000000000003) 14.53447267
(1.0, 0.3939999999999999) (1.0, 0.359) (0.5, 0.08800000000000008) (1.0, 0.10299999999999998) (1.0, 0.5) (1.0, 0.2310000000000001) (0.5, 0.4889999999999999) (0.5, 0.769) (0.5, 0.5480000000000002) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.5, 0.514) (0.5, 0.775) (0.5, 0.18600000000000005) (0.5, 0.28700000000000003) (0.5, 0.367) (0.5, 0.652) (0.5, 0.15500000000000003) (0.3333333333333333, 0.596) (0.5, 0.03700000000000003) 22.66900070
(1.0, 0.45699999999999996) (1.0, 0.359) (1.0, 0.2929999999999999) (0.5, 0.19999999999999996) (0.3333333333333333, 0.75) (0.5, 0.04800000000000004) (0.5, 0.828) (0.3333333333333333, 0.633) (0.3333333333333333, 0.6900000000000001) (0.5, 0.09299999999999997) (0.3333333333333333, 0.587) (0.5, 0.768) (0.5, 0.484) (0.5, 0.18600000000000005) (0.5, 0.7130000000000001) (0.5, 0.03400000000000003) (0.5, 0.37) (0.3333333333333333, 0.15500000000000003) (0.3333333333333333, 0.404) (0.5, 0.03700000000000003) 75.90582832
