Age Sex Job Housing Saving accounts Checking account Credit amount Duration Purpose Runtime
(0.5, 0.5) (0.3333333333333333, 1.0) (0.16666666666666666, 1.0) (0.0, 0.0) (0.5, 1.0) (1.0, 0.5) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 7.18445838
(0.3333333333333333, 0.25) (1.0, 0.33333333333333337) (0.2, 1.0) (1.0, 0.33333333333333337) (0.3333333333333333, 0.33333333333333337) (0.5, 1.0) (0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 1.0) 3.98825840
(1.0, 0.25) (0.3333333333333333, 1.0) (0.2, 1.0) (0.3333333333333333, 1.0) (0.5, 0.5) (0.5, 0.33333333333333337) (0.0, 0.0) (1.0, 0.25) (1.0, 0.19999999999999996) 3.74915668
(0.5, 0.25) (0.5, 0.5) (0.2, 1.0) (0.5, 0.33333333333333337) (1.0, 0.5) (0.3333333333333333, 1.0) (0.0, 0.0) (0.5, 0.25) (1.0, 0.19999999999999996) 3.57732331
(0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.14285714285714285, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) (0.5, 1.0) (0.3333333333333333, 1.0) 6.86404480
(1.0, 0.5) (0.0, 0.0) (0.16666666666666666, 1.0) (0.0, 0.0) (0.5, 1.0) (1.0, 0.8) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 9.04186886
(0.5, 1.0) (0.0, 0.0) (0.2, 1.0) (0.0, 0.0) (1.0, 0.25) (0.5, 1.0) (1.0, 0.25) (1.0, 0.25) (0.5, 1.0) 6.94756803
(0.5, 1.0) (0.5, 1.0) (0.2, 1.0) (0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (1.0, 0.5) (0.3333333333333333, 1.0) (0.5, 1.0) 3.84332384
(0.3333333333333333, 0.33333333333333337) (0.0, 0.0) (0.2, 1.0) (0.5, 1.0) (1.0, 0.5) (1.0, 0.5) (1.0, 0.5) (0.5, 1.0) (0.3333333333333333, 1.0) 5.02988423
(0.3333333333333333, 1.0) (0.0, 0.0) (0.5, 0.25) (0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.2, 1.0) 7.31579031
(0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.2, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5) (0.25, 1.0) (0.25, 1.0) 6.50205067
(0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.125, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) (0.5, 1.0) (0.25, 1.0) (0.5, 1.0) (0.2, 1.0) 12.31687382
(1.0, 0.25) (0.3333333333333333, 1.0) (0.2, 1.0) (0.3333333333333333, 1.0) (0.5, 0.5) (0.5, 0.33333333333333337) (0.0, 0.0) (1.0, 0.25) (1.0, 0.19999999999999996) 3.43145527
(0.2, 1.0) (0.0, 0.0) (0.2, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.5, 1.0) (0.3333333333333333, 0.33333333333333337) (0.3333333333333333, 1.0) 5.66017804
(0.5, 0.5) (0.0, 0.0) (0.16666666666666666, 1.0) (0.0, 0.0) (0.5, 1.0) (0.5, 0.8) (0.5, 1.0) (0.5, 1.0) (0.5, 0.33333333333333337) 7.79703199
(0.5, 1.0) (0.0, 0.0) (0.2, 1.0) (0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) 7.02857631
(0.3333333333333333, 0.5) (0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (1.0, 0.33333333333333337) (0.2, 1.0) 4.62934946
(0.5, 1.0) (0.0, 0.0) (0.2, 1.0) (0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) 7.02954647
(0.3333333333333333, 0.25) (0.5, 1.0) (0.25, 1.0) (1.0, 0.5) (0.5, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) (0.25, 1.0) (0.5, 1.0) 4.83923958
(0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 0.33333333333333337) 0.87754298
(0.3333333333333333, 1.0) (0.0, 0.0) (0.25, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) 5.56350988
(0.5, 1.0) (0.0, 0.0) (0.2, 1.0) (0.0, 0.0) (1.0, 0.25) (0.5, 1.0) (1.0, 0.25) (1.0, 0.25) (0.5, 1.0) 6.88931655
(0.3333333333333333, 1.0) (0.5, 1.0) (0.2, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (1.0, 0.33333333333333337) (0.0, 0.0) (1.0, 0.33333333333333337) 5.08595859
(0.5, 1.0) (0.0, 0.0) (0.2, 1.0) (0.0, 0.0) (0.5, 1.0) (1.0, 0.33333333333333337) (0.5, 1.0) (0.3333333333333333, 1.0) (1.0, 0.33333333333333337) 6.49077607
(0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.5) (0.5, 1.0) (0.3333333333333333, 1.0) 3.90976041
(0.0, 0.0) (0.0, 0.0) (0.2, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 0.5) (0.5, 0.5) (0.5, 0.33333333333333337) (0.3333333333333333, 1.0) 7.15672696
(0.0, 0.0) (0.0, 0.0) (0.2, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) (0.3333333333333333, 1.0) 7.80590606
(0.3333333333333333, 1.0) (0.3333333333333333, 0.5) (0.0, 0.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.25, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) (0.3333333333333333, 1.0) 15.07476273
(0.0, 0.0) (0.0, 0.0) (0.2, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) 8.11402177
