Age Sex Job Housing Saving accounts Checking account Credit amount Duration Purpose Runtime
(0.5, 0.249) (0.0, 0.0) (1.0, 0.02199999999999991) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.28) 3.38930963
(1.0, 0.484) (0.0, 0.0) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.726) (1.0, 0.751) (1.0, 0.77) (0.5, 0.28) 5.88435032
(1.0, 0.484) (1.0, 0.69) (1.0, 0.02199999999999991) (1.0, 0.7130000000000001) (1.0, 0.397) (1.0, 0.726) (0.0, 0.0) (1.0, 0.359) (1.0, 0.28) 2.22803529
(1.0, 0.249) (0.5, 0.69) (0.5, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (0.5, 0.5) (0.5, 0.359) (0.5, 0.28) 0.17682270
(0.5, 0.484) (0.0, 0.0) (0.5, 0.02199999999999991) (0.5, 0.7130000000000001) (0.5, 0.397) (1.0, 0.3939999999999999) (0.5, 0.751) (0.5, 0.77) (0.5, 0.28) 4.83879385
(1.0, 0.249) (0.0, 0.0) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.5) (1.0, 0.77) (0.5, 0.663) 5.92018328
(1.0, 0.484) (1.0, 0.69) (1.0, 0.02199999999999991) (1.0, 0.7130000000000001) (1.0, 0.397) (1.0, 0.726) (1.0, 0.5) (0.0, 0.0) (1.0, 0.28) 4.70464520
(1.0, 0.484) (0.0, 0.0) (1.0, 0.22199999999999998) (0.0, 0.0) (1.0, 0.397) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.629) 5.41497377
(1.0, 0.249) (0.5, 0.69) (0.5, 0.852) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.3939999999999999) (1.0, 0.5) (1.0, 0.77) (0.5, 0.629) 2.60368389
(0.0, 0.0) (0.0, 0.0) (0.5, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.5) (1.0, 0.77) (0.5, 0.28) 5.97303965
(0.0, 0.0) (0.0, 0.0) (1.0, 0.02199999999999991) (1.0, 0.7130000000000001) (1.0, 0.397) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.28) 5.39561697
(1.0, 0.484) (1.0, 0.69) (0.0, 0.0) (1.0, 0.7130000000000001) (1.0, 0.397) (1.0, 0.726) (1.0, 0.5) (1.0, 0.359) (1.0, 0.28) 11.64592313
(0.0, 0.0) (0.0, 0.0) (0.5, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.18300000000000005) (1.0, 0.45699999999999996) (1.0, 0.5) (1.0, 0.359) (0.5, 0.903) 6.17949922
