Recency Frequency Monetary Time Runtime
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08580137
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.25, 0.5283018867924528) 0.06781511
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06803204
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06784156
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.6428571428571428) 0.08150189
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08577200
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.25, 0.5283018867924528) 0.06792320
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06778134
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06790422
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.6428571428571428) 0.08127267
(0.0, 0.0) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.08133094
(0.0, 0.0) (1.0, 1.0) (0.0, 0.0) (0.3333333333333333, 0.5283018867924528) 0.06914396
(0.0, 0.0) (1.0, 1.0) (0.0, 0.0) (0.0, 0.0) 0.07392724
(0.0, 0.0) (1.0, 1.0) (0.0, 0.0) (0.0, 0.0) 0.07373018
(0.0, 0.0) (0.5, 1.0) (0.0, 0.0) (0.5, 0.6428571428571428) 0.06811579
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.09145529
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.25, 0.5283018867924528) 0.06795432
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06788224
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06767370
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.6428571428571428) 0.08130150
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08596774
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.25, 0.5283018867924528) 0.06760097
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06784930
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06772572
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.6428571428571428) 0.08134949
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08573934
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.25, 0.5283018867924528) 0.06780011
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06768788
(0.0, 0.0) (0.5, 1.0) (0.5, 1.0) (0.0, 0.0) 0.06767294
(0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.6428571428571428) 0.08132384
(0.0, 0.0) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.08165235
(0.0, 0.0) (1.0, 1.0) (0.0, 0.0) (0.3333333333333333, 0.5283018867924528) 0.06951793
(0.0, 0.0) (1.0, 1.0) (0.0, 0.0) (0.0, 0.0) 0.07385704
(0.0, 0.0) (1.0, 1.0) (0.0, 0.0) (0.0, 0.0) 0.07367151
(0.0, 0.0) (0.5, 1.0) (0.0, 0.0) (0.5, 0.6428571428571428) 0.06817799
(0.0, 0.0) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.08164837
(0.0, 0.0) (0.0, 0.0) (1.0, 1.0) (0.3333333333333333, 0.5283018867924528) 0.06950552
(0.0, 0.0) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.07378433
(0.0, 0.0) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.07372680
(0.0, 0.0) (0.0, 0.0) (0.5, 1.0) (0.5, 0.6428571428571428) 0.06812214
(0.0, 0.0) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.08151076
(0.0, 0.0) (0.0, 0.0) (1.0, 1.0) (0.3333333333333333, 0.5283018867924528) 0.06912760
(0.0, 0.0) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.07358321
(0.0, 0.0) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.07344751
(0.0, 0.0) (0.0, 0.0) (0.5, 1.0) (0.5, 0.6428571428571428) 0.06801458
(0.0, 0.0) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.08161968
(0.0, 0.0) (0.0, 0.0) (1.0, 1.0) (0.3333333333333333, 0.5283018867924528) 0.06943260
(0.0, 0.0) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.07367204
(0.0, 0.0) (0.0, 0.0) (1.0, 1.0) (0.0, 0.0) 0.07363072
(0.0, 0.0) (0.0, 0.0) (0.5, 1.0) (0.5, 0.6428571428571428) 0.06811803
(0.0, 0.0) (0.0, 0.0) (0.0, 0.0) (1.0, 0.6428571428571428) 0.07338829
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.34637334
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.5283018867924528) 0.08155284
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08153529
(0.3333333333333333, 0.5517241379310345) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08151343
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.25, 0.6428571428571428) 0.10391160
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.11199944
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.5283018867924528) 0.08151344
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08151014
(0.3333333333333333, 0.5517241379310345) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08135915
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.25, 0.6428571428571428) 0.09528340
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.11157823
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.5283018867924528) 0.08091964
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08095243
(0.3333333333333333, 0.5517241379310345) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08114857
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.25, 0.6428571428571428) 0.09526415
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.0, 0.0) (0.0, 0.0) 0.08588160
(0.5, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.3333333333333333, 0.5283018867924528) 0.06370219
(0.5, 0.7857142857142857) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06827418
(0.5, 0.5517241379310345) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06816939
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.0, 0.0) (0.3333333333333333, 0.6428571428571428) 0.08173256
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.11172200
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.5283018867924528) 0.08112902
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08149072
(0.3333333333333333, 0.5517241379310345) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08137776
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.25, 0.6428571428571428) 0.09522475
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.09490525
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.5283018867924528) 0.08108800
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08117754
(0.3333333333333333, 0.5517241379310345) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08104639
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.25, 0.6428571428571428) 0.09525245
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.09492571
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.5283018867924528) 0.08114435
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08098121
(0.3333333333333333, 0.5517241379310345) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08096567
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.25, 0.6428571428571428) 0.09508673
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.0, 0.0) (0.0, 0.0) 0.08589386
(0.5, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.3333333333333333, 0.5283018867924528) 0.06372445
(0.5, 0.7857142857142857) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06785984
(0.5, 0.5517241379310345) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06804763
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.0, 0.0) (0.3333333333333333, 0.6428571428571428) 0.08134080
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.11143957
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.5283018867924528) 0.08131597
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08146948
(0.3333333333333333, 0.5517241379310345) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08152169
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.25, 0.6428571428571428) 0.09540863
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.09543001
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.5283018867924528) 0.08145947
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08144343
(0.3333333333333333, 0.5517241379310345) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08126666
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.25, 0.6428571428571428) 0.09548279
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.09556021
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.5283018867924528) 0.08153016
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08157767
(0.3333333333333333, 0.5517241379310345) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08147048
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.25, 0.6428571428571428) 0.09528483
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.0, 0.0) (0.0, 0.0) 0.08622581
(0.5, 0.19999999999999996) (0.5, 1.0) (0.0, 0.0) (0.3333333333333333, 0.5283018867924528) 0.06402216
(0.5, 0.7857142857142857) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06805169
(0.5, 0.5517241379310345) (0.5, 1.0) (0.0, 0.0) (0.0, 0.0) 0.06840059
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.0, 0.0) (0.3333333333333333, 0.6428571428571428) 0.08166418
(0.3333333333333333, 0.7857142857142857) (0.0, 0.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08594143
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.3333333333333333, 0.5283018867924528) 0.06364720
(0.5, 0.7857142857142857) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.06807882
(0.5, 0.5517241379310345) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.06810104
(0.3333333333333333, 0.7857142857142857) (0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.6428571428571428) 0.08181968
(0.3333333333333333, 0.7857142857142857) (0.0, 0.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08606513
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.3333333333333333, 0.5283018867924528) 0.06402560
(0.5, 0.7857142857142857) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.06803844
(0.5, 0.5517241379310345) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.06780126
(0.3333333333333333, 0.7857142857142857) (0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.6428571428571428) 0.08145724
(0.3333333333333333, 0.7857142857142857) (0.0, 0.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08580042
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 1.0) (0.3333333333333333, 0.5283018867924528) 0.06410091
(0.5, 0.7857142857142857) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.06809992
(0.5, 0.5517241379310345) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 0.06816619
(0.3333333333333333, 0.7857142857142857) (0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 0.6428571428571428) 0.08147147
(0.5, 0.7857142857142857) (0.0, 0.0) (0.0, 0.0) (0.0, 0.0) 0.08162938
(1.0, 0.19999999999999996) (0.0, 0.0) (0.0, 0.0) (0.5, 0.5283018867924528) 0.06083629
(1.0, 0.7857142857142857) (0.0, 0.0) (0.0, 0.0) (0.0, 0.0) 0.07417635
(1.0, 0.5517241379310345) (0.0, 0.0) (0.0, 0.0) (0.0, 0.0) 0.07387662
(0.5, 0.7857142857142857) (0.0, 0.0) (0.0, 0.0) (0.5, 0.6428571428571428) 0.06831181
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.31416500
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 0.5283018867924528) 0.08142486
(0.3333333333333333, 0.7857142857142857) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08133861
(0.3333333333333333, 0.5517241379310345) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) 0.08136677
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.25, 0.6428571428571428) 0.09508737
(0.25, 0.7857142857142857) (0.25, 1.0) (0.25, 1.0) (0.0, 0.0) 0.09541518
