Recency Frequency Monetary Time Runtime
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.25, 0.6) 0.06773399
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07055010
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07051973
(0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08170576
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06795329
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.25, 0.6) 0.06795514
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06788100
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06798619
(0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08150438
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06797529
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.25, 0.6) 0.06792116
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06785748
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06788974
(0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08147190
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.07382185
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.3333333333333333, 0.6) 0.06939309
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.07377228
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.07378660
(0.0, 0.0) (0.5, 0.25) (0.0, 0.0) (0.5, 0.8) 0.06849472
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07064697
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.25, 0.6) 0.06787123
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07051839
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07039113
(0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08156359
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06794814
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.25, 0.6) 0.06802617
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06787366
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06784224
(0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08162636
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06778021
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.25, 0.6) 0.06794593
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06801131
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.06776976
(0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08152871
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.07390123
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.3333333333333333, 0.6) 0.06952530
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.07348098
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.07359753
(0.0, 0.0) (0.5, 0.25) (0.0, 0.0) (0.5, 0.8) 0.06823160
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.07366531
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.3333333333333333, 0.6) 0.06958703
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.07359493
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.07370096
(0.0, 0.0) (0.0, 0.0) (0.5, 0.25) (0.5, 0.8) 0.06816725
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.07354351
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.3333333333333333, 0.6) 0.06939682
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.07357516
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.07366705
(0.0, 0.0) (0.0, 0.0) (0.5, 0.25) (0.5, 0.8) 0.06824731
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.07367955
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.3333333333333333, 0.6) 0.06934651
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.07365797
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.07369388
(0.0, 0.0) (0.0, 0.0) (0.5, 0.25) (0.5, 0.8) 0.06845744
(0.0, 0.0) (0.0, 0.0) (0.0, 0.0) (1.0, 0.8) 0.07357654
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.22080240
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.10492421
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.11534874
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.11498627
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.12625274
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.09426012
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.08129635
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08676935
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08661343
